"path","count","rules","cwes"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_01.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_02.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_03.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_04.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_05.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_06.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_07.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_08.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_09.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_10.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_11.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_12.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_13.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_14.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_15.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_16.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_17.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_18.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_21.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_22a.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_31.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_32.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_34.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_41.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_42.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_44.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_45.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_51a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_52a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_53a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_54a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_61b.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_63a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_64a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_65a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_66a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_67a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_add_68a.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_01.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_02.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_03.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_04.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_05.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_06.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_07.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_08.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_09.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_10.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_11.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_12.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_13.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_14.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_15.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_16.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_17.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_18.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_21.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_22a.c","3","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_31.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_32.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_34.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_41.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_42.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
"data/juliet/testcases/CWE190_Integer_Overflow/s02/CWE190_Integer_Overflow__int_connect_socket_multiply_44.c","2","tools.semgrep-rules.c.lang.security.insecure-use-memset","CWE-14: Compiler Removal of Code to Clear Buffers"
